Metro Area,State,Cost of Living
Akron,Ohio,89.4
Amarillo,Texas,88.2
Anchorage,Alaska,110.7
Ann Arbor,Michigan,99.3
Appleton,Wisconsin,90.7
Albany-Schenectady-Troy,New York,100.1
Allentown-Bethlehem-Easton,Pennsylvania,98.9
Athens-Clarke County,Georgia,95
Atlanta-Sandy Springs-Marietta,Georgia,100.3
Atlantic City-Hammonton,New Jersey,102
Augusta-Richmond County,Georgia,91.6
Austin-Round Rock-San Marcos,Texas,106.6
Bakersfield-Delano,California,102.9
Baltimore-Towson,Maryland,107
Barnstable Town,Massachusetts,122.4
Baton Rouge,Louisiana,91.1
Beaumont-Port Arthur,Texas,88.6
Bellingham,Washington,111.6
Binghamton,New York,93.3
Birmingham-Hoover,Alabama,90.7
Boise City-Nampa,Idaho,100.3
Boston-Cambridge-Quincy,Massachusetts,132.6
Boulder,Colorado,118.7
Bremerton-Silverdale,Washington,115
Brownsville-Harlingen,Texas,87.8
Buffalo-Niagara Falls,New York,97.3
Burlington-South Burlington,Vermont,112.8
Canton-Massillon,Ohio,88.2
Cedar Rapids,Iowa,88.1
Champaign-Urbana,Illinois,89
Charleston,West Virginia,83.9
Charleston-North Charleston-Summerville,South Carolina,101.7
Charlotte-Gastonia-Rock Hill,North Carolina,97.9
Charlottesville,Virginia,102.1
Chattanooga,Tennessee,91.2
Chicago-Joliet-Naperville,Illinois,100.1
Chico,California,110.5
Cincinnati-Middletown,Ohio,92.4
Clarksville,Tennessee,88.7
Cleveland-Elyria-Mentor,Ohio,90
College Station-Bryan,Texas,92.3
Colorado Springs,Colorado,102.2
Columbia,South Carolina,91.9
Columbus,Georgia,88.5
Columbus,Ohio,93.9
Corpus Christi,Texas,93.3
Dayton,Ohio,88.4
Denver-Aurora-Broomfield,Colorado,112.1
Detroit-Warren-Livonia,Michigan,93.2
Des Moines-West Des Moines,Iowa,91.7
Duluth,Minnesota,93.2
Durham-Chapel Hill,North Carolina,99.8
El Paso,Texas,88.6
Elkhart-Goshen,Indiana,88.5
Erie,Pennsylvania,91.8
Eugene-Springfield,Oregon,108.4
Evansville,Indiana,87.2
Fargo,North Dakota,91.4
Fayetteville,North Carolina,89.5
Fayetteville-Springdale-Rogers,Arkansas,90.4
Flint,Michigan,85.7
Florence,South Carolina,87.7
Fort Collins-Loveland,Colorado,109.2
Fort Smith,Arkansas,84.2
Fort Wayne,Indiana,86.8
Fresno,California,105.9
Gainesville,Florida,97.3
Grand Rapids-Wyoming,Michigan,93.7
Greeley,Colorado,106.1
Green Bay,Wisconsin,91.4
Greensboro-High Point,North Carolina,91
Greenville-Mauldin-Easley,South Carolina,95
Gulfport-Biloxi,Mississippi,86.8
Harrisburg-Carlisle,Pennsylvania,95.8
Hartford-West Hartford-East Hartford,Connecticut,104.8
Hickory-Lenoir-Morganton,North Carolina,89.8
Houma-Bayou Cane-Thibodaux,Louisiana,89.9
Houston-Sugar Land-Baytown,Texas,95.8
Huntington-Ashland,West Virginia,84.3
Huntsville,Alabama,91.3
Indianapolis-Carmel,Indiana,90.2
Jackson,Mississippi,87.8
Jacksonville,Florida,99
Johnson City,Tennessee,88.1
Kalamazoo-Portage,Michigan,89.3
Kansas City,Missouri,91.6
Kennewick-Pasco-Richland,Washington,99.7
Killeen-Temple-Fort Hood,Texas,88.6
Kingsport-Bristol-Bristol,Tennessee,86
Knoxville,Tennessee,91.6
Lafayette,Louisiana,89.6
Lake Charles,Louisiana,89.4
Lake Havasu City-Kingman,Arizona,98.4
Lakeland-Winter Haven,Florida,96.4
Lancaster,Pennsylvania,99.5
Lansing-East Lansing,Michigan,88.7
Laredo,Texas,90.1
Las Vegas-Paradise,Nevada,100.7
Las Cruces,New Mexico,88.8
Lexington-Fayette,Kentucky,91.1
Lincoln,Nebraska,94.7
Little Rock-North Little Rock-Conway,Arkansas,88
Longview,Texas,88.5
Lubbock,Texas,88.8
Lynchburg,Virginia,93.6
Macon,Georgia,87.2
Madison,Wisconsin,99.5
Manchester-Nashua,New Hampshire,109.6
McAllen-Edinburg-Mission,Texas,86
Medford,Oregon,107.5
Memphis,Tennessee,88.2
Merced,California,108.2
Milwaukee-Waukesha-West Allis,Wisconsin,93.8
Mobile,Alabama,88.3
Modesto,California,112.3
Montgomery,Alabama,88.5
Myrtle Beach-North Myrtle Beach-Conway,South Carolina,94.7
Naples-Marco Island,Florida,109.4
Nashville-Davidson--Murfreesboro--Franklin,Tennessee,100.1
New Haven-Milford,Connecticut,107.7
New Orleans-Metairie-Kenner,Louisiana,92.4
New York-Northern New Jersey-Long Island,New York,128
Ocala,Florida,94.5
Ogden-Clearfield,Utah,99.8
Oklahoma City,Oklahoma,87.3
Olympia,Washington,110.9
Omaha-Council Bluffs,Nebraska,92.9
Orlando-Kissimmee-Sanford,Florida,101.4
Pensacola-Ferry Pass-Brent,Florida,97.9
Philadelphia-Camden-Wilmington,Pennsylvania,103.4
Phoenix-Mesa-Glendale,Arizona,104.3
Pittsburgh,Pennsylvania,93.1
Port St. Lucie,Florida,101.1
Peoria,Illinois,86.7
Portland-South Portland-Biddeford,Maine,113
Prescott,Arizona,104.6
Portland-Vancouver-Hillsboro,Oregon,116.5
Providence-New Bedford-Fall River,Rhode Island,111.5
Provo-Orem,Utah,100.9
Raleigh-Cary,North Carolina,99.7
Reading,Pennsylvania,96
Reno-Sparks,Nevada,107.4
Richmond,Virginia,99.2
Riverside-San Bernardino-Ontario,California,116.1
Roanoke,Virginia,94.1
Rochester,New York,96.6
Rockford,Illinois,87.2
Sacramento--Arden-Arcade--Roseville,California,120.3
Salem,Oregon,105.8
Salinas,California,138.3
Salt Lake City,Utah,105.9
San Antonio-New Braunfels,Texas,92.7
San Diego-Carlsbad-San Marcos,California,136.2
San Francisco-Oakland-Fremont,California,178.6
San Jose-Sunnyvale-Santa Clara,California,173.5
San Luis Obispo-Paso Robles,California,136.1
Santa Cruz-Watsonville,California,163.9
Santa Rosa-Petaluma,California,141.7
Savannah,Georgia,97.3
Scranton--Wilkes-Barre,Pennsylvania,91.3
Seattle-Tacoma-Bellevue,Washington,124.6
Shreveport-Bossier City,Louisiana,85.8
Sioux Falls,South Dakota,92.8
South Bend-Mishawaka,Indiana,87.2
Spartanburg,South Carolina,91
Spokane,Washington,100.4
Springfield,Illinois,87.5
Springfield,Massachusetts,106.5
Springfield,Missouri,86.7
St. Cloud,Minnesota,95.4
St. Louis,Missouri,89.6
Stockton,California,113.6
Syracuse,New York,95.1
Tallahassee,Florida,96.4
Tampa-St. Petersburg-Clearwater,Florida,101.4
Toledo,Ohio,87.5
Topeka,Kansas,85.6
Trenton-Ewing,New Jersey,104.3
Tucson,Arizona,97.7
Tulsa,Oklahoma,86.7
Tuscaloosa,Alabama,91
Tyler,Texas,92.8
Utica-Rome,New York,94.1
Vallejo-Fairfield,California,125.2
Virginia Beach-Norfolk-Newport News,Virginia,99
Visalia-Porterville,California,103.6
Waco,Texas,89.5
Washington-Arlington-Alexandria,Washington DC,120.1
Wichita,Kansas,86.8
Wilmington,North Carolina,99
Worcester,Massachusetts,113.2
Yakima,Washington,97.5
York-Hanover,Pennsylvania,95.8
Youngstown-Warren-Boardman,Ohio,86.4
Yuma,Arizona,94.5
Crestview-Fort Walton Beach-Destin,Florida,104.7
Holland-Grand Haven,Michigan,96.2
Los Angeles-Long Beach-Santa Ana,California,140.6
Lafayette,Indiana,88.7
North Port-Bradenton-Sarasota,Florida,104.4
Santa Barbara-Santa Maria-Goleta,California,143
Honolulu,Hawaii,158
Dallas-Fort Worth-Arlington,Texas,98.5
Bridgeport-Stamford-Norwalk,Connecticut,119.2
Davenport-Moline-Rock Island,Iowa,87.2
Cape Coral-Fort Myers,Florida,101.5
Deltona-Daytona Beach-Ormond Beach,Florida,99.6
Miami-Fort Lauderdale-Pompano Beach,Florida,110.1
Hagerstown-Martinsburg,Maryland,99.7
Minneapolis-St. Paul-Bloomington,Minnesota,105.4
Oxnard-Thousand Oaks-Ventura,California,132.2
Palm Bay-Melbourne-Titusville,Florida,99.3
Norwich-New London,Connecticut,105.9
Asheville,North Carolina,103.3
Albuquerque,New Mexico,92.9
